ax,ay,az,gx,gy,gz
0.4509,0.3979,0.7854,36.3074,-31.7615,-83.2916
0.4540,0.3550,0.7551,44.6814,-30.9315,-67.4034
0.4565,0.3209,0.7679,44.0608,-12.7928,-58.3864
0.4580,0.2880,0.8301,46.9170,13.5555,-67.5978
0.4879,0.2997,0.8185,56.8761,31.8063,-79.9944
0.4778,0.2419,0.7701,56.8536,31.2306,-79.3588
0.4957,0.1921,0.7629,50.4236,16.5985,-70.3044
0.5018,0.1516,0.7921,43.8290,1.4580,-65.5417
0.5063,0.1221,0.8095,40.9355,-8.3516,-59.4331
0.5067,0.0942,0.8176,38.0420,-7.7385,-54.4685
0.5042,0.0615,0.8044,34.3634,0.5009,-50.4535
0.5107,0.0490,0.7971,28.2100,10.5946,-53.4367
0.4756,0.0035,0.7527,23.5893,16.2845,-54.3863
0.5526,0.0300,0.8436,20.4715,22.0341,-60.0388
0.5751,-0.0217,0.8784,11.0358,15.0209,-61.0780
0.5720,-0.0376,0.8135,0.4187,3.6038,-54.6779
0.5443,-0.0231,0.7594,-6.6544,9.1890,-57.8256
0.5811,-0.0292,0.7485,-19.5444,16.2845,-64.3379
0.5911,-0.0304,0.8345,-19.5818,19.4397,-72.2633
0.5553,-0.0889,0.8787,-13.7199,13.7872,-78.2747
0.5339,-0.1160,0.7866,-3.8580,3.1627,-77.7214
0.5012,-0.1226,0.7358,-2.2879,-3.0804,-74.4615
0.4775,-0.1418,0.7515,-5.2263,-1.7421,-70.7530
0.4991,-0.1639,0.7697,-10.3404,-4.9870,-68.3754
0.5363,-0.1765,0.8198,-11.7834,-13.5629,-62.3715
0.5244,-0.1661,0.8271,-11.3722,-15.9256,-64.8239
0.5540,-0.0850,0.8082,-14.0863,-13.0545,-82.9178
0.5348,-0.1684,0.8529,-7.2450,-10.9460,-100.8023
0.4717,-0.1635,0.8569,1.0991,-6.7740,-113.8792
0.4893,-0.2560,0.9886,-6.1908,-17.8172,-109.9240
0.3673,-0.3538,0.8234,2.2580,-26.1838,-92.8769
0.4092,-0.2869,0.7966,4.1571,-23.3575,-79.7551
0.4015,-0.3002,0.7874,1.3458,-16.9948,-68.3978
0.3932,-0.4225,0.7853,-5.2711,-11.2152,-54.7452
0.2820,-0.3656,0.8495,-6.8936,-14.1536,-35.6569
0.3854,-0.3188,0.8451,-9.2787,-1.8243,-28.8231
0.3961,-0.2978,0.8433,-10.6021,6.3254,-32.5465
0.3876,-0.3135,0.8583,-14.4601,3.2225,-35.8363
