ax,ay,az,gx,gy,gz
0.3964,0.7477,0.4915,8.4862,-8.0151,-125.6776
0.3534,0.6973,0.5363,-5.9964,-19.2378,-118.7915
0.3889,0.6267,0.5404,-8.7404,-22.2809,-110.8511
0.4354,0.6330,0.6038,11.7087,-18.2434,-109.1539
0.5161,0.6453,0.6212,22.2734,-11.1853,-106.4323
0.4736,0.5856,0.5784,20.3818,-14.2209,-97.5873
0.4603,0.5266,0.5308,14.1386,-9.6750,-85.7141
0.4888,0.4803,0.5129,4.3066,-2.6767,-75.6129
0.5160,0.4735,0.5792,-7.8357,2.9309,-64.4650
0.5367,0.4819,0.6842,-11.8283,3.0954,-54.2816
0.5699,0.4772,0.6824,4.2319,0.0972,-45.4665
0.6059,0.4759,0.5933,14.7517,-2.8188,-39.6794
0.6270,0.4670,0.5556,7.6488,-6.0413,-37.3541
0.6242,0.4265,0.5641,-0.4561,-3.9627,-35.7391
0.6047,0.4208,0.5823,-0.4411,-1.2262,-34.5503
0.5396,0.4197,0.5730,-0.3365,-1.2711,-32.1204
0.5532,0.4124,0.6202,-5.5104,-7.4469,-23.4398
0.6367,0.4227,0.6571,-1.3757,-10.9909,-18.6322
0.6575,0.4195,0.6122,2.8711,-7.0731,-18.8116
0.6374,0.3812,0.6130,-1.9440,1.4131,-18.1163
0.6035,0.3613,0.5953,0.0374,12.1573,-16.8153
0.5741,0.3913,0.6202,-1.2935,10.5498,-11.2077
0.5909,0.3978,0.6383,1.3683,4.3739,-4.3889
0.6233,0.3770,0.6072,4.1870,3.9178,1.1514
0.6458,0.3784,0.5908,1.1739,5.7796,2.4973
0.6211,0.3805,0.5901,-2.5720,5.6824,5.7422
0.6118,0.3860,0.6342,-6.2431,2.8188,12.7704
0.6036,0.3956,0.6424,-3.3047,-2.2954,18.8490
0.5914,0.3802,0.5916,-0.8524,-7.4843,24.6809
0.5971,0.3797,0.5452,-4.8824,-7.8357,29.1670
0.5925,0.3972,0.5765,-13.4657,-5.2338,33.6008
0.5780,0.4254,0.6238,-15.6340,-7.6787,39.5448
0.5559,0.4513,0.6364,-12.2545,-12.7330,44.2776
0.5513,0.4697,0.6390,-11.7012,-14.5947,49.0030
0.5291,0.4731,0.6161,-9.8395,-13.0022,53.4966
0.5223,0.4819,0.6191,-12.5311,-9.5030,58.4238
